name,description,active,created_date
Base Breakout(down),,True,2026-01-01
Bottoming Base Breakout,,True,2026-01-01
Bounce,,True,2026-01-01
Break Away Gap,,True,2026-01-01
CounterTrend,,True,2026-01-01
Low Cheat,,True,2026-01-01
